title,author,genres,synopsis,publisher,year,isbn,cover,url
Einstein: His Life and Universe,Walter Isaacson,"['Biography', 'Nonfiction', 'Science', 'History', 'Physics', 'Biography Memoir', 'Audiobook']","Einstein was a rebel and nonconformist from boyhood days, and these character traits drove both his life and his science. In this narrative, Walter Isaacson explains how his mind worked and the mysteries of the universe that he discovered.",Simon & Schuster,2007,9780743264730,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328011405i/10884.jpg,https://www.goodreads.com/book/show/10884.Einstein
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,"['History', 'Nonfiction', 'Biography', 'American History', 'Presidents', 'Politics', 'Historical']","James A. Garfield was one of the most extraordinary men ever elected president. Born into abject poverty, he rose to become a wunderkind scholar, a Civil War hero, and a renowned and admired reformist congressman. Nominated for president against his will, he engaged in a fierce battle with the corrupt political establishment. But four months after his inauguration, a deranged office seeker tracked Garfield down and shot him in the back.",Doubleday,2011,9780385526265,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1653156803i/10335318.jpg,https://www.goodreads.com/book/show/10335318-destiny-of-the-republic
Greenlights,Matthew McConaughey,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Self Help']","From the Academy Award®–winning actor, an unconventional memoir filled with raucous stories, outlaw wisdom, and lessons learned the hard way about living with greater satisfaction.",Crown,2020,9780593139134,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604281659i/52838315.jpg,https://www.goodreads.com/book/show/52838315-greenlights
Man and His Symbols,C.G. Jung,"['Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics']","Man and His Symbols owes its existence to one of Jung's own dreams. The great psychologist dreamed that his work was understood by a wide public, rather than just by psychiatrists, and therefore he agreed to write and edit this fascinating book. Here, Jung examines the full world of the unconscious, whose language he believed to be the symbols constantly revealed in dreams. Convinced that dreams offer practical advice, sent from the unconscious to the conscious self, Jung felt that self-understanding would lead to a full and productive life. Thus, the reader will gain new insights into himself from this thoughtful volume, which also illustrates symbols throughout history. Completed just before his death by Jung and his associates, it is clearly addressed to the general reader.",Dell,1968,9780440351832,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327336291i/123632.jpg,https://www.goodreads.com/book/show/123632.Man_and_His_Symbols
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"['Nonfiction', 'History', 'True Crime', 'Ireland', 'Audiobook', 'Politics', 'Crime']","In December 1972, Jean McConville, a thirty-eight-year-old mother of ten, was dragged from her Belfast home by masked intruders, her children clinging to her legs. They never saw her again. Her abduction was one of the most notorious episodes of the vicious conflict known as The Troubles. Everyone in the neighborhood knew the I.R.A. was responsible. But in a climate of fear and paranoia, no one would speak of it. In 2003, five years after an accord brought an uneasy peace to Northern Ireland, a set of human bones was discovered on a beach. McConville's children knew it was their mother when they were told a blue safety pin was attached to the dress--with so many kids, she had always kept it handy for diapers or ripped clothes.",Doubleday,2019,9780385521314,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1537315266i/40163119.jpg,https://www.goodreads.com/book/show/40163119-say-nothing
American Gods,Neil Gaiman,"['Fantasy', 'Fiction', 'Mythology', 'Urban Fantasy', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy']","Days before his release from prison, Shadow's wife, Laura, dies in a mysterious car crash. Numbly, he makes his way back home. On the plane, he encounters the enigmatic Mr Wednesday, who claims to be a refugee from a distant war, a former god and the king of America.",William Morrow,2011,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203.jpg,https://www.goodreads.com/book/show/30165203-american-gods
The One,Kiera Cass,"['Romance', 'Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction']",The time has come for one winner to be crowned.,HarperTeen,2014,9780062059994,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1699307836i/18635016.jpg,https://www.goodreads.com/book/show/18635016-the-one
Tao Te Ching,Lao Tzu,"['Philosophy', 'Nonfiction', 'Classics', 'Religion', 'Spirituality', 'Poetry', 'China']",A lucid translation of the well-known Taoist classic by a leading scholar-now in a Shambhala Pocket Library edition.,Vintage,1989,9780679724346,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333578861i/67896.jpg,https://www.goodreads.com/book/show/67896.Tao_Te_Ching
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Business']","No matter your goals, Atomic Habits offers a proven framework for improving—every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.",Avery,2018,(ISBN10:,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655988385i/40121378.jpg,https://www.goodreads.com/book/show/40121378-atomic-habits
Dune Messiah,Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Space Opera']",Book Two in the Magnificent Dune Chronicles--the Bestselling Science Fiction Adventure of All Time,Ace,2019,9780593098233,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1577043824i/44492285.jpg,https://www.goodreads.com/book/show/44492285-dune-messiah
Infidel,Ayaan Hirsi Ali,"['Nonfiction', 'Memoir', 'Biography', 'Religion', 'Africa', 'Politics', 'Islam']","One of today’s most admired and controversial political figures, Ayaan Hirsi Ali burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened that she would be next. She made headlines again when she was stripped of her citizenship and resigned from the Dutch Parliament.",Free Press,2007,9780743289689,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388256729i/81227.jpg,https://www.goodreads.com/book/show/81227.Infidel
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Science Fiction Fantasy', 'Audiobook']","Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.",Del Rey Books,2005,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
Stranger in a Strange Land,Robert A. Heinlein,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction']",NAME: Valentine Michael Smith,Ace,1991,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350.jpg,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
Slaughterhouse-Five,Kurt Vonnegut Jr.,"['Classics', 'Fiction', 'Science Fiction', 'Historical Fiction', 'War', 'Literature', 'Novels']","Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.”",Dial Press,1999,9780385333849,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Fahrenheit 451,Ray Bradbury,"['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'School', 'Literature', 'Novels']","Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.",Simon & Schuster,2011,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management']",The New York Times bestseller that gives readers a paradigm-shattering new way to think about motivation,Riverhead Books,2009,9781594488849,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348931599i/6452796.jpg,https://www.goodreads.com/book/show/6452796-drive
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"['Nonfiction', 'Psychology', 'Economics', 'Business', 'Self Help', 'Science', 'Politics']","From the winner of the 2017 Nobel Prize in Economics, Richard H. Thaler, and Cass R. Sunstein: a revelatory look at how we make decisions",Penguin Books,2009,9780143115267,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348322381i/3450744.jpg,https://www.goodreads.com/book/show/3450744-nudge
Leonardo da Vinci,Walter Isaacson,"['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook']","Based on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work, Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves, such as passionate curiosity, careful observation, and an imagination so playful that it flirted with fantasy. He produced the two most famous paintings in history, The Last Supper and the Mona Lisa. But in his own mind, he was just as much a man of science and technology. With a passion that sometimes became obsessive, he pursued innovative studies of anatomy, fossils, birds, the heart, flying machines, botany, geology, and weaponry. His ability to stand at the crossroads of the humanities and the sciences, made iconic by his drawing of Vitruvian Man, made him history's most creative genius",Simon & Schuster,2017,9781501139154,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523543570i/34684622.jpg,https://www.goodreads.com/book/show/34684622-leonardo-da-vinci
Foundation,Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Novels']","The first novel in Isaac Asimov's classic science-fiction masterpiece, the Foundation series",Bantam,2004,9780553803716,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417900846i/29579.jpg,https://www.goodreads.com/book/show/29579.Foundation
An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,"['Psychology', 'Nonfiction', 'Memoir', 'Mental Health', 'Biography', 'Mental Illness', 'Biography Memoir']",The personal memoir of a manic depressive and an authority on the subject describes the onset of the illness during her teenage years and her determined journey through the realm of available treatments.,Vintage,1996,9780679763307,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1350028748i/361459.jpg,https://www.goodreads.com/book/show/361459.An_Unquiet_Mind
The Interpretation of Dreams,Sigmund Freud,"['Psychology', 'Nonfiction', 'Philosophy', 'Classics', 'Science', 'Psychoanalysis', 'Theory']","Freud's discovery that the dream is the means by which the unconscious can be explored is undoubtedly the most revolutionary step forward in the entire history of psychology. Dreams, according to his theory, represent the hidden fulfillment of our unconscious wishes.",Barnes & Noble,1994,9781566195768,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171268617i/93981.jpg,https://www.goodreads.com/book/show/93981.The_Interpretation_of_Dreams
Starship Troopers,Robert A. Heinlein,"['Science Fiction', 'Fiction', 'Classics', 'Military Fiction', 'War', 'Science Fiction Fantasy', 'Space Opera']","The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...",Ace Books,1987,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614054412i/17214.jpg,https://www.goodreads.com/book/show/17214.Starship_Troopers
1984,George Orwell,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']","The new novel by George Orwell is the major work towards which all his previous writing has pointed. Critics have hailed it as his ""most solid, most brilliant"" work. Though the story of Nineteen Eighty-Four takes place thirty-five years hence, it is in every sense timely. The scene is London, where there has been no new housing since 1950 and where the city-wide slums are called Victory Mansions. Science has abandoned Man for the State. As every citizen knows only too well, war is peace.",Plume,2022,9780452284234,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,https://www.goodreads.com/book/show/61439040-1984
A Court of Thorns and Roses,Sarah J. Maas,"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'New Adult', 'Fae', 'Retellings']","When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.",Bloomsbury Publishing,2020,9781635575569,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620324329i/50659467.jpg,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses
Maybe You Should Talk to Someone,Lori Gottlieb,"['Nonfiction', 'Psychology', 'Memoir', 'Self Help', 'Mental Health', 'Audiobook', 'Biography']","From a psychotherapist, and national advice columnist comes a thought-provoking new book that takes us behind the scenes of a therapist's world -- where her patients are looking for answers (and so is she).",Harper,2019,9781328662057,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1547189796i/37570546.jpg,https://www.goodreads.com/book/show/37570546-maybe-you-should-talk-to-someone
A Clash of Kings,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Adventure']","A comet the color of blood and flame cuts across the sky. Two great leaders—Lord Eddard Stark and Robert Baratheon—who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war.",Bantam,2002,9780553381696,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567840212i/10572.jpg,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Letter to a Christian Nation,Sam Harris,"['Nonfiction', 'Religion', 'Philosophy', 'Atheism', 'Politics', 'Science', 'Christianity']","In response to The End of Faith, Sam Harris received thousands of letters from Christians excoriating him for not believing in God. Letter to A Christian Nation is his reply. Using rational argument, Harris offers a measured refutation of the beliefs that form the core of fundamentalist Christianity. In the course of his argument, he addresses current topics ranging from intelligent design and stem-cell research to the connections between religion and violence. In Letter to a Christian Nation, Sam Harris boldly challenges the influence that faith has on public life in our nation.",Knopf,2006,9780307265777,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385089375i/51299.jpg,https://www.goodreads.com/book/show/51299.Letter_to_a_Christian_Nation
A Court of Mist and Fury,Sarah J. Maas,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']",The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas's spellbinding A Court of Thorns and Roses .,Bloomsbury Publishing,2020,9781635575583,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620325671i/50659468.jpg,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,"['Religion', 'Nonfiction', 'Philosophy', 'Atheism', 'Politics', 'Science', 'History']","In The End of Faith, Sam Harris delivers a startling analysis of the clash between reason and religion in the modern world. He offers a vivid, historical tour of our willingness to suspend reason in favor of religious beliefs—even when these beliefs inspire the worst human atrocities. While warning against the encroachment of organized religion into world politics, Harris draws on insights from neuroscience, philosophy, and Eastern mysticism to deliver a call for a truly modern foundation for ethics and spirituality that is both secular and humanistic.",W. W. Norton,2005,9780393327656,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408542906i/29501.jpg,https://www.goodreads.com/book/show/29501.The_End_of_Faith
"Life, the Universe and Everything",Douglas Adams,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Science Fiction Fantasy', 'Classics']","Now celebrating the 42nd anniversary of  The Hitchhiker’s Guide to the Galaxy,  soon to be a Hulu original series!",Del Rey,1997,9780345418906,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333577589i/8694.jpg,https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,"['Religion', 'Philosophy', 'Nonfiction', 'Science', 'Atheism', 'Psychology', 'Evolution']",An innovative thinker tackles the controversial question of why we believe in God and how religion shapes our lives and our future.,Viking Adult,2006,9780670034727,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406403613i/2067.jpg,https://www.goodreads.com/book/show/2067.Breaking_the_Spell
Project Hail Mary,Andy Weir,"['Science Fiction', 'Fiction', 'Audiobook', 'Space', 'Fantasy', 'Adult', 'Thriller']","Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish.",Ballantine Books,2021,9780593135204,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597695864i/54493401.jpg,https://www.goodreads.com/book/show/54493401-project-hail-mary
I'm Glad My Mom Died,Jennette McCurdy,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Mental Health', 'Autobiography', 'Adult']","A heartbreaking and hilarious memoir by iCarly and Sam & Cat star Jennette McCurdy about her struggles as a former child actor—including eating disorders, addiction, and a complicated relationship with her overbearing mother—and how she retook control of her life.",Simon & Schuster,2022,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1649286799i/59364173.jpg,https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died
Heartstopper: Volume One,Alice Oseman,"['Graphic Novels', 'Romance', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Comics']","Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?",Selfpublished,2018,9781527225336,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1541887843i/40495957.jpg,https://www.goodreads.com/book/show/40495957-heartstopper
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"['Nonfiction', 'Business', 'Psychology', 'Sociology', 'Self Help', 'Science', 'Economics']","The tipping point is that magic moment when an idea, trend, or social behavior crosses a threshold, tips, and spreads like wildfire. Just as a single sick person can start an epidemic of the flu, so too can a small but precisely targeted push cause a fashion trend, the popularity of a new product, or a drop in the crime rate. This widely acclaimed bestseller, in which Malcolm Gladwell explores and brilliantly illuminates the tipping point phenomenon, is already changing the way people throughout the world think about selling products and disseminating ideas.",Time Warner Book Group,2002,9780316346627,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473396980i/2612.jpg,https://www.goodreads.com/book/show/2612.The_Tipping_Point
Eragon,Christopher Paolini,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']",An alternate cover edition for ISBN 9780375826696 can be found here.,Alfred A. Knopf,2005,9780375826696,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436.jpg,https://www.goodreads.com/book/show/113436.Eragon
Leviathan Wakes,James S.A. Corey,"['Science Fiction', 'Fiction', 'Space Opera', 'Space', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy']","Humanity has colonized the solar system—Mars, the Moon, the Asteroid Belt and beyond—but the stars are still out of our reach.",Orbit,2011,9781841499888,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411013134i/8855321.jpg,https://www.goodreads.com/book/show/8855321-leviathan-wakes
Paradise Lost,John Milton,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'Philosophy']","John Milton's Paradise Lost is one of the greatest epic poems in the English language. It tells the story of the Fall of Man, a tale of immense drama and excitement, of rebellion and treachery, of innocence pitted against corruption, in which God and Satan fight a bitter battle for control of mankind's destiny. The struggle rages across three worlds - heaven, hell, and earth - as Satan and his band of rebel angels plot their revenge against God. At the center of the conflict are Adam and Eve, who are motivated by all too human temptations but whose ultimate downfall is unyielding love.",Penguin Classics,2003,9780140424393,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1526070678i/15997.jpg,https://www.goodreads.com/book/show/15997.Paradise_Lost
A Darker Shade of Magic,V.E. Schwab,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Audiobook', 'Adventure']","Kell is one of the last Antari—magicians with a rare, coveted ability to travel between parallel Londons; Red, Grey, White, and, once upon a time, Black.",Tor,2015,9780765376459,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400322851i/22055262.jpg,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,"['Psychology', 'Nonfiction', 'Philosophy', 'Self Help', 'Science', 'Personal Development', 'Audiobook']","In his widely praised book, award-winning psychologist Jonathan Haidt examines the world’s philosophical wisdom through the lens of psychological science, showing how a deeper understanding of enduring maxims-like Do unto others as you would have others do unto you, or What doesn’t kill you makes you stronger-can enrich and even transform our lives.",Basic Books,2006,9780465028023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348779688i/96884.jpg,https://www.goodreads.com/book/show/96884.The_Happiness_Hypothesis
The Gifts of Imperfection,Brené Brown,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Mental Health', 'Spirituality']","In this groundbreaking New York Times best seller, Dr. Brené Brown, a research professor and thought leader on vulnerability, courage, worthiness, and shame, shares ten guideposts on the power of Wholehearted living—a way of engaging with the world from a place of worthiness.",Hazelden,2010,9781592858491,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369092544i/7015403.jpg,https://www.goodreads.com/book/show/7015403-the-gifts-of-imperfection
The Eye of the World,Robert Jordan,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']","The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. What was, what will be, and what is, may yet fall under the Shadow.",Tor Books,1990,9780812511819,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905815i/228665.jpg,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Warmth of Other Suns: the Epic Story of America's Great Migration,Isabel Wilkerson,"['History', 'Nonfiction', 'Race', 'American History', 'African American', 'Social Justice', 'Biography']","In this epic, beautifully written masterwork, Pulitzer Prize–winning author Isabel Wilkerson chronicles one of the great untold stories of American history: the decades-long migration of black citizens who fled the South for northern and western cities, in search of a better life. ",Random House,2010,9780679444329,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433354252i/8171378.jpg,https://www.goodreads.com/book/show/8171378-the-warmth-of-other-suns
The Hating Game,Sally Thorne,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Chick Lit', 'Adult', 'Audiobook']",Nemesis (n.),William Morrow Paperbacks,2016,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1481566824i/27213238.jpg,https://www.goodreads.com/book/show/27213238-the-hating-game
The Da Vinci Code,Dan Brown,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']",ISBN 9780307277671 moved to this edition.,Anchor,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579621267i/968.jpg,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,"['Fiction', 'Humor', 'Historical Fiction', 'Fantasy', 'Religion', 'Comedy', 'Historical']","The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years—except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" (Philadelphia Inquirer).",Harper Perennial,2004,9780380813810,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331419009i/28881.jpg,https://www.goodreads.com/book/show/28881.Lamb
I Know Why the Caged Bird Sings,Maya Angelou,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism']","Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.",Bantam Books,1993,9780553279375,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214.jpg,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
The Way of Kings,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy']","From #1 New York Times bestselling author Brandon Sanderson, The Way of Kings, book one of The Stormlight Archive begins an incredible new saga of epic proportion.",Tor Books,2010,9780765326355,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905828i/7235533.jpg,https://www.goodreads.com/book/show/7235533-the-way-of-kings
Confessions,Augustine of Hippo,"['Philosophy', 'Classics', 'Religion', 'Theology', 'Nonfiction', 'Biography', 'Christian']","Augustine's Confessions is one of the most influential and most innovative works of Latin literature. Written in the author's early forties in the last years of the fourth century A.D. and during his first years as a bishop, they reflect on his life and on the activity of remembering and interpreting a life. Books I-IV are concerned with infancy and learning to talk, schooldays, sexual desire and adolescent rebellion, intense friendships and intellectual exploration. Augustine evolves and analyses his past with all the resources of the reading which shaped his mind: Virgil and Cicero, Neoplatonism and the Bible. This volume, which aims to be usable by students who are new to Augustine, alerts readers to the verbal echoes and allusions of Augustine's brilliant and varied Latin, and explains his theological and philosophical questioning of what God is and what it is to be human. The edition is intended for use by students and scholars of Latin literature, theology and Church history.",Oxford University Press,1998,9780192833723,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1266454051i/27037.jpg,https://www.goodreads.com/book/show/27037.Confessions
Fifty Shades Freed,E.L. James,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']","When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.",Vintage Books,2013,9780345803504,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1336418837i/13536860.jpg,https://www.goodreads.com/book/show/13536860-fifty-shades-freed
The Guns of August,Barbara W. Tuchman,"['History', 'Nonfiction', 'War', 'World War I', 'Military Fiction', 'Military History', 'Politics']","The Proud Tower, the Pulitzer Prize–winning The Guns of August, and The Zimmerman Telegram comprise Barbara W. Tuchman’s classic histories of the First World War era",Random House,2009,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617037342i/40779082.jpg,https://www.goodreads.com/book/show/40779082-the-guns-of-august
